1566689934.95,Created on: ,2019-08-24 19:38:54.156
Timestamp,Barometer,Temperature
2019-08-24 19:38:54.156,1,2
2019-08-24 19:38:57.156,1,2
2019-08-24 19:39:00.156,1,2
2019-08-24 19:39:03.156,1,2
2019-08-24 19:39:06.156,1,2
2019-08-24 19:39:09.156,1,2
2019-08-24 19:39:12.156,1,2
2019-08-24 19:39:15.156,1,2
2019-08-24 19:39:18.156,1,2
2019-08-24 19:39:21.156,1,2
2019-08-24 19:39:24.156,1,2
2019-08-24 19:39:27.156,1,2
2019-08-24 19:39:30.156,1,2
2019-08-24 19:39:33.156,1,2
2019-08-24 19:39:36.156,1,2
2019-08-24 19:39:39.156,1,2
2019-08-24 19:39:43.156,1,2
2019-08-24 19:39:46.156,1,2
2019-08-24 19:39:49.156,1,2
2019-08-24 19:39:52.156,1,2
2019-08-24 19:39:55.156,1,2
2019-08-24 19:39:58.156,1,2
2019-08-24 19:40:01.156,1,2
2019-08-24 19:40:04.156,1,2
2019-08-24 19:40:07.156,1,2
2019-08-24 19:40:10.156,1,2
2019-08-24 19:40:13.156,1,2
2019-08-24 19:40:16.156,1,2
2019-08-24 19:40:19.156,1,2
2019-08-24 19:40:22.156,1,2
2019-08-24 19:40:25.156,1,2
2019-08-24 19:40:28.156,1,2
2019-08-24 19:40:31.156,1,2
2019-08-24 19:40:34.156,1,2
2019-08-24 19:40:37.156,1,2
2019-08-24 19:40:40.156,1,2
2019-08-24 19:40:43.156,1,2
2019-08-24 19:40:46.156,1,2
2019-08-24 19:40:49.156,1,2
2019-08-24 19:40:52.156,1,2
2019-08-24 19:40:55.156,1,2
2019-08-24 19:40:58.156,1,2
2019-08-24 19:41:01.156,1,2
2019-08-24 19:41:04.156,1,2
2019-08-24 19:41:07.156,1,2
2019-08-24 19:41:10.156,1,2
2019-08-24 19:41:13.156,1,2
2019-08-24 19:41:16.156,1,2
2019-08-24 19:41:19.156,1,2
2019-08-24 19:41:22.156,1,2
2019-08-24 19:41:25.156,1,2
2019-08-24 19:41:28.156,1,2
2019-08-24 19:41:31.156,1,2
2019-08-24 19:41:34.156,1,2
2019-08-24 19:41:37.156,1,2
2019-08-24 19:41:40.156,1,2
2019-08-24 19:41:43.156,1,2
2019-08-24 19:41:46.156,1,2
2019-08-24 19:41:49.156,1,2
2019-08-24 19:41:52.156,1,2
2019-08-24 19:41:55.156,1,2
2019-08-24 19:41:58.156,1,2
2019-08-24 19:42:01.156,1,2
2019-08-24 19:42:04.156,1,2
2019-08-24 19:42:07.156,1,2
2019-08-24 19:42:10.156,1,2
2019-08-24 19:42:13.156,1,2
2019-08-24 19:42:16.156,1,2
2019-08-24 19:42:19.156,1,2
2019-08-24 19:42:22.156,1,2
2019-08-24 19:42:25.156,1,2
2019-08-24 19:42:28.156,1,2
2019-08-24 19:42:31.156,1,2
2019-08-24 19:42:34.156,1,2
