1567005688.36,Created on: ,2019-08-28 11:21:28.156
Timestamp,Barometer,Temperature
2019-08-28 08:21:28.156,-99,-99
2019-08-28 08:21:31.156,-99,-99
2019-08-28 08:21:34.156,-99,-99
2019-08-28 08:21:37.156,-99,-99
2019-08-28 08:21:40.156,-99,-99
2019-08-28 08:21:43.156,-99,-99
2019-08-28 08:21:46.156,-99,-99
2019-08-28 08:21:50.156,-99,-99
2019-08-28 08:21:53.156,-99,-99
2019-08-28 08:21:56.156,-99,-99
2019-08-28 08:21:59.156,-99,-99
2019-08-28 08:22:02.156,-99,-99
2019-08-28 08:22:05.156,-99,-99
2019-08-28 08:22:08.156,-99,-99
2019-08-28 08:22:12.156,-99,-99
2019-08-28 08:22:14.156,-99,-99
2019-08-28 08:22:17.156,-99,-99
2019-08-28 08:22:20.156,-99,-99
2019-08-28 08:22:23.156,-99,-99
2019-08-28 08:22:26.156,-99,-99
2019-08-28 08:22:29.156,-99,-99
2019-08-28 08:22:32.156,-99,-99
2019-08-28 08:22:35.156,-99,-99
2019-08-28 08:22:38.156,-99,-99
2019-08-28 08:22:41.156,-99,-99
2019-08-28 08:22:44.156,-99,-99
2019-08-28 08:22:47.156,-99,-99
2019-08-28 08:22:50.156,-99,-99
2019-08-28 08:22:54.156,-99,-99
2019-08-28 08:22:57.156,-99,-99
2019-08-28 08:22:59.156,-99,-99
2019-08-28 08:23:02.156,-99,-99
2019-08-28 08:23:05.156,-99,-99
2019-08-28 08:23:08.156,-99,-99
2019-08-28 08:23:11.156,-99,-99
2019-08-28 08:23:14.156,-99,-99
2019-08-28 13:04:15.156,-99,-99
2019-08-28 13:04:18.156,-99,-99
2019-08-28 13:32:00.156,24.40,0.962250170
2019-08-28 13:32:01.156,24.40,0.962279800
2019-08-28 13:32:02.156,24.40,0.962250170
2019-08-28 13:32:03.156,24.40,0.962250170
2019-08-28 13:32:04.156,24.40,0.962210710
2019-08-28 13:32:06.156,24.40,0.962250170
2019-08-28 13:32:07.156,24.40,0.962250170
2019-08-28 13:32:08.156,24.40,0.962220550
